domain,budget,physical_cells,prediction_rows,selected_pchp_alpha,selected_control_alpha,selected_control_offset,baseline_cell_macro_mae,pchp_cell_macro_mae,control_cell_macro_mae,pchp_minus_baseline,pchp_minus_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_cell_macro_pchp_harm,pchp_nonincreasing,baseline_nonincreasing,control_nonincreasing
CALB,0.0,27,2629,0.01,0.01,0.0,0.050323864863760476,0.050323864863760476,0.050323864863760476,0.0,0.0,0.0,0.0,0.0,True,True,True
CALB,0.0025,27,2629,0.01,0.01,0.0025,0.050323864863760476,0.04784284139120578,0.047824781622103026,-0.0024810234725546956,1.805976910275453e-05,0.0024999999999999467,0.0024999999999999467,-0.0019876337589779386,True,True,True
CALB,0.005,27,2629,0.01,0.01,0.005,0.050323864863760476,0.045363227808703305,0.045325698380445464,-0.004960637055057171,3.7529428257840336e-05,0.0050000000000000044,0.0050000000000000044,-0.003977262726169328,True,True,True
CALB,0.0075,27,2629,0.01,0.01,0.0075,0.050323864863760476,0.042900440045357646,0.04282661513878802,-0.0074234248184028295,7.382490656962504e-05,0.007499999999999951,0.007499999999999951,-0.00602323280780729,True,True,True
CALB,0.01,27,2629,0.01,0.01,0.01,0.050323864863760476,0.04045587355947081,0.04032753189713046,-0.009867991304289662,0.00012834166234035327,0.010000000000000009,0.009940850234890442,-0.008143168353047986,True,True,True
CALB,0.015,27,2629,0.01,0.015,0.015,0.050323864863760476,0.03567348890181467,0.03687673900884911,-0.014650375961945808,-0.0012032501070344398,0.015000000000000013,0.009940850234890442,-0.00865438863996423,True,True,True
CALB,0.02,27,2629,0.01,0.015,0.02,0.050323864863760476,0.031233610628444514,0.0318785725255341,-0.019090254235315962,-0.0006449618970895896,0.020000000000000018,0.009940850234890442,-0.008862804243003449,True,True,True
CALB,0.03,27,2629,0.01,0.015,0.02081124333764628,0.050323864863760476,0.026243125820676387,0.03106762667352688,-0.02408073904308409,-0.004824500852850494,0.030000000000000027,0.009940850234890442,-0.008891248377600077,True,True,True
CALCE,0.0,13,14233,0.005,0.005,0.0,0.05896388954181315,0.05896388954181315,0.05896388954181315,0.0,0.0,0.0,0.0,0.0,True,True,True
CALCE,0.0025,13,14233,0.005,0.005,0.0025,0.05896388954181315,0.057996381685614634,0.060283548466979746,-0.0009675078561985143,-0.0022871667813651117,0.0025000000000000022,0.0024999999999999467,-5.3823743068510954e-05,True,True,True
CALCE,0.005,13,14233,0.005,0.005,0.005,0.05896388954181315,0.05675596975930451,0.061687811176405725,-0.002207919782508637,-0.004931841417101214,0.0050000000000000044,0.0050000000000000044,-0.0006444001285596107,True,True,True
CALCE,0.0075,13,14233,0.005,0.005,0.0075,0.05896388954181315,0.05553903519310598,0.06316864162280403,-0.0034248543487071653,-0.007629606429698045,0.007500000000000007,0.007499999999999951,0.0003391945859093949,True,True,True
CALCE,0.01,13,14233,0.005,0.005,0.01,0.05896388954181315,0.05446868201152871,0.06472994847071015,-0.0044952075302844355,-0.010261266459181434,0.010000000000000009,0.010000000000000009,0.0017285289874211622,True,True,True
CALCE,0.015,13,14233,0.005,0.005,0.014938693116661628,0.05896388954181315,0.05275701146240935,0.06811558871917503,-0.006206878079403795,-0.015358577256765676,0.015000000000000013,0.015000000000000013,0.005603904140017497,True,True,True
CALCE,0.02,13,14233,0.005,0.005,0.014938693116661628,0.05896388954181315,0.051558096348565785,0.06811558871917503,-0.007405793193247363,-0.016557492370609245,0.020000000000000018,0.020000000000000018,0.009927615838397123,True,True,True
CALCE,0.03,13,14233,0.005,0.005,0.014938693116661628,0.05896388954181315,0.05052008354868053,0.06811558871917503,-0.008443805993132616,-0.017595505170494498,0.030000000000000027,0.030000000000000027,0.018781353842226838,True,True,True
HNEI,0.0,14,15085,0.005,0.005,0.0,0.06529650057195181,0.06529650057195181,0.06529650057195181,0.0,0.0,0.0,0.0,0.0,True,True,True
HNEI,0.0025,14,15085,0.005,0.005,0.0025,0.06529650057195181,0.0632117709147745,0.06734286227037553,-0.002084729657177306,-0.004131091355601024,0.0025000000000000022,0.0025000000000000022,0.0005146691546386584,True,True,True
HNEI,0.005,14,15085,0.005,0.005,0.005,0.06529650057195181,0.06112036162543943,0.0694223600731653,-0.004176138946512385,-0.008301998447725868,0.0050000000000000044,0.0050000000000000044,0.0009417840560234925,True,True,True
HNEI,0.0075,14,15085,0.005,0.005,0.0075,0.06529650057195181,0.05903802524546816,0.07153196455688345,-0.006258475326483652,-0.012493939311415285,0.007500000000000007,0.007500000000000007,0.001128153851419511,True,True,True
