budget,domains,domain_equal_baseline_mae,domain_equal_pchp_mae,domain_equal_exact_shift_control_mae,domain_equal_pchp_minus_baseline,domain_equal_pchp_minus_control,descriptive_domain_bootstrap_ci95_pchp_minus_control,wins_ties_losses_pchp_vs_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_domain_pchp_harm
0.0,12,0.07523980647076693,0.07523980647076693,0.07523980647076693,0.0,0.0,"[0.0, 0.0]","[0, 12, 0]",0.0,0.0,0.0
0.0025,12,0.07523980647076693,0.07391229989847355,0.07579863064670656,-0.001327506572293374,-0.0018863307482329973,"[-0.0036069010082431636, -0.0005552169308524707]","[8, 1, 3]",0.0025000000000000577,0.0025000000000000022,0.0002469585518444506
0.005,12,0.07523980647076693,0.07264531437045978,0.07552598107875978,-0.0025944921003071453,-0.0028806667083000077,"[-0.004897482174360721, -0.000981223971469865]","[9, 0, 3]",0.0050000000000000044,0.0050000000000000044,0.0005112029631364201
0.0075,12,0.07523980647076693,0.0714673926163451,0.07542703108388805,-0.0037724138544218285,-0.0039596384675429684,"[-0.006577914053596848, -0.0013406694107971503]","[9, 0, 3]",0.007500000000000062,0.007500000000000007,0.0007931881916865002
0.01,12,0.07523980647076693,0.07037751214694384,0.07515064067511455,-0.004862294323823092,-0.004773128528170719,"[-0.008078221956815793, -0.0015754621949184546]","[9, 0, 3]",0.010000000000000009,0.010000000000000009,0.00109231794438297
0.015,12,0.07504907562986311,0.06826888751232858,0.07615371114886978,-0.0067801881175345085,-0.007884823636541182,"[-0.012521259336570095, -0.0035133693592671556]","[11, 0, 1]",0.015000000000000013,0.015000000000000013,0.0017431036494816587
0.02,12,0.07504907562986311,0.06660592729212043,0.07579165673518573,-0.008443148337742686,-0.009185729443065315,"[-0.014881232323789398, -0.003748763066996411]","[10, 0, 2]",0.020000000000000018,0.020000000000000018,0.0024683785693747906
0.03,12,0.07419475599823715,0.06422072878122086,0.0762675293377019,-0.009974027217016287,-0.012046800556481045,"[-0.018665843123015283, -0.005397771485583214]","[11, 0, 1]",0.030000000000000027,0.030000000000000027,0.0042205985126905765
