cell_id,records,reference_capacity_ah,baseline_mae,pchp_mae,source_tuned_causal_candidate_mae,maximum_pchp_loss_regret,maximum_pchp_displacement,maximum_source_tuned_candidate_displacement,pchp_minus_baseline,source_tuned_candidate_minus_baseline,pchp_minus_source_tuned_candidate
F0002,66,0.1164820750609655,0.12375380937094808,0.11375380937094809,0.054747623700604944,-0.010000000000000009,0.010000000000000009,0.0845172787003311,-0.009999999999999995,-0.06900618567034314,0.059006185670343145
F0003,66,0.1167582692734993,0.1780756463063885,0.16807564630638849,0.063545269055744286,-0.010000000000000009,0.010000000000000009,0.1237068276544856,-0.010000000000000009,-0.11453037725064422,0.10453037725064421
F0004,66,0.091270701758291606,0.1369429663069511,0.12807876073697139,0.072493637568874544,0.0037707137944484881,0.010000000000000009,0.10203675549471991,-0.0088642055699797162,-0.064449328738076558,0.055585123168096842
F0006,66,0.1136531514971303,0.24020152827378732,0.23020152827378731,0.044081306178319596,-0.010000000000000009,0.010000000000000009,0.20969057338053954,-0.010000000000000009,-0.19612022209546773,0.18612022209546772
F0007,66,0.12046540617169581,0.12499498185877685,0.11499498185877685,0.057140645456179112,-0.010000000000000009,0.010000000000000009,0.07844527449359362,-0.009999999999999995,-0.067854336402597734,0.057854336402597739
F0008,66,0.11529827068694659,0.17751219939314095,0.16751219939314094,0.061575817774672373,-0.010000000000000009,0.010000000000000009,0.12397043592866119,-0.010000000000000009,-0.11593638161846857,0.10593638161846856
F0010,66,0.1144687818119134,0.13887446467695716,0.12887446467695715,0.05854038445008411,-0.010000000000000009,0.010000000000000009,0.096028152837000946,-0.010000000000000009,-0.08033408022687305,0.070334080226873041
F0011,66,0.11766927103567221,0.14897003453722868,0.13897003453722867,0.065414601743400067,-0.010000000000000009,0.010000000000000009,0.093851815716238574,-0.010000000000000009,-0.083555432793828613,0.073555432793828604
F0012,66,0.1087590962459157,0.14880271815307383,0.13880271815307382,0.061336045111724816,-0.010000000000000009,0.010000000000000009,0.10321667386214217,-0.010000000000000009,-0.087466673041349016,0.077466673041349007
F0013,66,0.1020435140108,0.26729313684161671,0.2572931368416167,0.042891819386098456,-0.010000000000000009,0.010000000000000009,0.28403981940629086,-0.010000000000000009,-0.22440131745551825,0.21440131745551824
F0014,66,0.1115917155217368,0.25656720410933176,0.24656720410933178,0.042721040866659982,-0.010000000000000009,0.010000000000000009,0.23262954668007663,-0.0099999999999999811,-0.21384616324267178,0.2038461632426718
F0016,66,0.081175212769779292,0.40793899213193674,0.39793899213193673,0.20808286352876504,-0.010000000000000009,0.010000000000000009,0.2807478547588953,-0.010000000000000009,-0.1998561286031717,0.18985612860317169
F0017,66,0.11245191509238141,0.14299449243148354,0.13299449243148356,0.054258075735286522,-0.010000000000000009,0.010000000000000009,0.1067962373037562,-0.0099999999999999811,-0.088736416696197029,0.078736416696197048
F0022,66,0.12054667165060451,0.12532538403456561,0.1153253840345656,0.057493356771724825,-0.010000000000000009,0.010000000000000009,0.07685264634194755,-0.010000000000000009,-0.067832027262840794,0.057832027262840778
F0026,66,0.1146357440671122,0.15186452879262249,0.14186452879262251,0.064097812591566827,-0.010000000000000009,0.010000000000000009,0.096379773651575351,-0.0099999999999999811,-0.087766716201055667,0.077766716201055686
F0031,66,0.1194316472614023,0.1803084563768505,0.17030845637685049,0.049439080003735647,-0.010000000000000009,0.010000000000000009,0.14286896265239946,-0.010000000000000009,-0.13086937637311485,0.12086937637311485
F0036,66,0.1060253449850351,0.17550483464783859,0.16550483464783861,0.049764908524671525,-0.010000000000000009,0.010000000000000009,0.13232362965619271,-0.0099999999999999811,-0.12573992612316706,0.11573992612316708
F0052,65,0.11444175979711579,0.14344793191284927,0.13344793191284926,0.060221534203821571,-0.010000000000000009,0.010000000000000009,0.099090979024459291,-0.010000000000000009,-0.083226397709027705,0.073226397709027696
F0054,66,0.1178558248538206,0.13111534734079977,0.12111534734079976,0.062348462867084703,-0.010000000000000009,0.010000000000000009,0.078090892182734128,-0.010000000000000009,-0.068766884473715068,0.058766884473715059
F0056,66,0.1155901759842468,0.15972468851648686,0.14972468851648688,0.064401250731665985,-0.010000000000000009,0.010000000000000009,0.10308472281724812,-0.0099999999999999811,-0.095323437784820872,0.085323437784820891
F0063,66,0.11949175492286609,0.13106198906311603,0.12106198906311601,0.057143021134033925,-0.010000000000000009,0.010000000000000009,0.09056476207090991,-0.010000000000000023,-0.073918967929082105,0.063918967929082082
F0064,66,0.1025749430750838,0.13224713361340956,0.12224713361340957,0.042948900259814529,-0.010000000000000009,0.010000000000000009,0.11350300195534035,-0.009999999999999995,-0.089298233353595033,0.079298233353595038
F0065,66,0.11862359690251159,0.18268779539690486,0.17268779539690488,0.051879346106164695,-0.010000000000000009,0.010000000000000009,0.14536490404236324,-0.0099999999999999811,-0.13080844929074015,0.12080844929074018
F0067,66,0.11818803015623769,0.1239052285996925,0.11390522859969249,0.062043443401262645,-0.010000000000000009,0.010000000000000009,0.069992636206375858,-0.010000000000000009,-0.061861785198429851,0.051861785198429843
F0068,66,0.11477714195078889,0.20989150096866738,0.19989150096866737,0.050699222532887757,-0.010000000000000009,0.010000000000000009,0.16763900350754946,-0.010000000000000009,-0.15919227843577963,0.14919227843577962
F0069,66,0.1200313579802635,0.134032100420128,0.12403210042012799,0.059669175286524066,-0.010000000000000009,0.010000000000000009,0.090610221847904904,-0.010000000000000009,-0.07436292513360393,0.064362925133603921
F0108,66,0.1010885262741431,0.13625668669019408,0.12625668669019408,0.03381169769268861,-0.010000000000000009,0.010000000000000009,0.12400083272489648,-0.010000000000000009,-0.10244498899750548,0.092444988997505473
F0126,66,0.087563842708971801,0.11884576579155982,0.11419884053935925,0.056904228661495054,0.010000000000000009,0.010000000000000009,0.10455110137550394,-0.0046469252522005761,-0.061941537130064769,0.057294611877864193
F0127,66,0.1162544386894909,0.20929432551211538,0.1992943255121154,0.051166761499588272,-0.010000000000000009,0.010000000000000009,0.16782040118832187,-0.0099999999999999811,-0.15812756401252712,0.14812756401252714
F0129,66,0.1139638060193898,0.19105199193604025,0.18105199193604024,0.061785706884003228,-0.010000000000000009,0.010000000000000009,0.1392728884405211,-0.010000000000000009,-0.12926628505203702,0.11926628505203701
F0132,66,0.11884668768846091,0.12154697489430005,0.11154697489430004,0.059293169503946745,-0.010000000000000009,0.010000000000000009,0.069867114714140421,-0.010000000000000009,-0.062253805390353308,0.052253805390353299
F0133,66,0.11780377324645219,0.12243941099862295,0.11243941099862294,0.053714266539888908,-0.010000000000000009,0.010000000000000009,0.084623311637314957,-0.010000000000000009,-0.068725144458734039,0.05872514445873403
F0136,66,0.11471589844397351,0.13960894662055301,0.129608946620553,0.060988741395879287,-0.010000000000000009,0.010000000000000009,0.096157337063090709,-0.010000000000000009,-0.078620205224673723,0.068620205224673714
F0138,66,0.1206391803547343,0.12157344044376936,0.11157344044376935,0.064972125039604769,-0.010000000000000009,0.010000000000000009,0.065427322447823122,-0.010000000000000009,-0.05660131540416459,0.046601315404164581
F0139,66,0.1164428910798691,0.10671575701341331,0.096715757013413284,0.059486709164739193,-0.010000000000000009,0.010000000000000009,0.055633043743148591,-0.010000000000000023,-0.047229047848674113,0.037229047848674091
F0141,66,0.095324127522309801,0.23893637563513959,0.22893637563513958,0.054553609063471349,-0.010000000000000009,0.010000000000000009,0.23292903986436009,-0.010000000000000009,-0.18438276657166824,0.17438276657166824
F0142,66,0.1188366504183727,0.12498921608566513,0.11498921608566513,0.05558973115758422,-0.010000000000000009,0.010000000000000009,0.079496861834459698,-0.009999999999999995,-0.069399484928080901,0.059399484928080913
F0143,66,0.1167779329218909,0.12326878030495834,0.11326878030495835,0.063746737349766699,-0.010000000000000009,0.010000000000000009,0.067486144074721643,-0.009999999999999995,-0.059522042955191645,0.04952204295519165
F0144,66,0.10488574064482761,0.28632734449331532,0.27632734449331531,0.035813876622612838,-0.010000000000000009,0.010000000000000009,0.28473032929827957,-0.010000000000000009,-0.2505134678707025,0.24051346787070246
F0145,66,0.087618619670845804,0.39561682361725387,0.38561682361725386,0.19120317219303937,-0.0099999999999999534,0.010000000000000009,0.28507792781842112,-0.010000000000000009,-0.2044136514242145,0.19441365142421449
F0148,66,0.1066389101397584,0.18873320881205913,0.17873320881205909,0.046720616453316648,-0.010000000000000009,0.010000000000000009,0.1546469357508099,-0.010000000000000037,-0.14201259235874247,0.13201259235874244
F0150,66,0.1122560242105812,0.24395014973015894,0.23395014973015896,0.04512633260504452,-0.010000000000000009,0.010000000000000009,0.21409272217236175,-0.0099999999999999811,-0.19882381712511443,0.18882381712511442
F0152,66,0.093460853587109011,0.21693064237528181,0.2069306423752818,0.037935067753239356,-0.010000000000000009,0.010000000000000009,0.23001279532861929,-0.010000000000000009,-0.17899557462204246,0.16899557462204245
F0155,66,0.12042702795659589,0.13561422342093976,0.12561422342093975,0.059873737729561276,-0.010000000000000009,0.010000000000000009,0.091942454830471698,-0.010000000000000009,-0.075740485691378479,0.06574048569137847
F0156,66,0.1148781129736472,0.17730146215196368,0.16730146215196368,0.065794767158966636,-0.010000000000000009,0.010000000000000009,0.12129995713222297,-0.010000000000000009,-0.11150669499299705,0.10150669499299704
