backbone,domain,method,cell_macro_mae,physical_cells
ridge,RWTH,protected_state,0.15440607058563485,48
ridge,RWTH,raw_candidate,0.15267019183373287,48
ridge,SDU,pchp_method,0.05451101032940235,86
ridge,SDU,protected_state,0.055303613647124154,86
ridge,SDU,raw_candidate,0.05101881398921424,86
ridge,SNL,pchp_method,0.08522509177644633,61
ridge,SNL,protected_state,0.09195277448580409,61
ridge,SNL,raw_candidate,0.050782988881967375,61
ridge,UL_PUR,pchp_method,0.09141120702133598,10
ridge,UL_PUR,protected_state,0.10040745048836508,10
ridge,UL_PUR,raw_candidate,0.04936437105712005,10
ridge,XJTU,pchp_method,0.05680742788479654,23
ridge,XJTU,protected_state,0.053689054378921755,23
ridge,XJTU,raw_candidate,0.07427265769766382,23
