backbone,method,domain_equal_cell_macro_mae,worst_domain_cell_macro_mae
hist_gradient_boosting,raw_candidate,0.05586257170756304,0.14598112672356242
hist_gradient_boosting,pchp_method,0.07249049936062506,0.13925154382683785
hist_gradient_boosting,protected_state,0.0767393614174465,0.14733910237259787
lightgbm,raw_candidate,0.05661466390403916,0.15211688868844933
lightgbm,pchp_method,0.07251574925451885,0.14024316868595435
lightgbm,protected_state,0.07673954423106795,0.1399554165233897
ridge,raw_candidate,0.08083076395520188,0.15267019183373287
ridge,pchp_method,0.1077308913349263,0.3321883635956148
ridge,protected_state,0.11192211005591868,0.3404103757667296
