outer_target_domain,selected_alpha,selected_inner_domain_equal_causal_candidate_mae,inner_domains,outer_target_labels_used_for_selection
CALB,0.050000000000000003,0.059598268677925122,11,False
CALCE,0.050000000000000003,0.059560158676809388,11,False
HNEI,0.050000000000000003,0.06167086156609114,11,False
HUST,0.050000000000000003,0.05855652630692449,11,False
MATR,0.050000000000000003,0.057674267686997911,11,False
MICH,0.050000000000000003,0.056358384936286247,11,False
MICH_EXP,0.050000000000000003,0.056980859415679291,11,False
RWTH,0.050000000000000003,0.045591217378283241,11,False
SDU,0.050000000000000003,0.057983558102944914,11,False
SNL,0.050000000000000003,0.051116904639163581,11,False
UL_PUR,0.050000000000000003,0.055683469045194438,11,False
XJTU,0.050000000000000003,0.056003638130027851,11,False
