domain,cell_id,records,comparator_alpha,baseline_mae,pchp_mae,source_tuned_causal_candidate_mae,pchp_max_displacement,source_tuned_candidate_max_displacement,pchp_violation_records,source_tuned_candidate_violation_records,pchp_minus_baseline,source_tuned_candidate_minus_baseline,pchp_minus_source_tuned_candidate,pchp_violates,source_tuned_candidate_violates
CALB,CALB/CALB_0_B182,94,0.050000000000000003,0.08003014673903025,0.070030146739030255,0.019120980401143312,0.010000000000000009,0.069258523447774833,0,94,-0.009999999999999995,-0.060909166337886941,0.050909166337886946,False,True
CALB,CALB/CALB_0_B183,94,0.050000000000000003,0.067704063348816845,0.057704063348816829,0.011418611810985826,0.010000000000000009,0.075695695223159665,0,94,-0.010000000000000016,-0.056285451537831016,0.046285451537831007,False,True
CALB,CALB/CALB_0_B184,94,0.050000000000000003,0.051911582019399195,0.041911582019399186,0.0091706649678597232,0.010000000000000009,0.060452287186853915,0,94,-0.010000000000000009,-0.04274091705153947,0.032740917051539462,False,True
CALB,CALB/CALB_0_B185,94,0.050000000000000003,0.053060616882277985,0.043060616882277983,0.0052340048981033274,0.010000000000000009,0.057588685520273741,0,94,-0.010000000000000002,-0.047826611984174656,0.037826611984174655,False,True
CALB,CALB/CALB_0_B187,94,0.050000000000000003,0.051567288756802214,0.041567288756802205,0.006181266238860025,0.010000000000000009,0.05813093345951148,0,94,-0.010000000000000009,-0.045386022517942187,0.035386022517942178,False,True
CALB,CALB/CALB_0_B188,202,0.050000000000000003,0.051124056143554787,0.042980887790506801,0.016607938625020593,0.010000000000000009,0.073524989170276278,0,202,-0.0081431683530479859,-0.034516117518534194,0.026372949165486208,False,True
CALB,CALB/CALB_0_B189,94,0.050000000000000003,0.047633223895193685,0.037633223895193683,0.0049433167971249274,0.010000000000000009,0.05158985087581569,0,94,-0.010000000000000002,-0.042689907098068761,0.032689907098068759,False,True
CALB,CALB/CALB_0_B190,94,0.050000000000000003,0.075785348158353569,0.06578534815835356,0.01078076921699743,0.010000000000000009,0.079345687771107842,0,94,-0.010000000000000009,-0.065004578941356139,0.05500457894135613,False,True
CALB,CALB/CALB_25_T25-1,93,0.050000000000000003,0.024357620726221347,0.016065023863448848,0.0092581924568237734,0.010000000000000009,0.021566622752238862,0,93,-0.0082925968627724986,-0.015099428269397574,0.0068068314066250749,False,True
CALB,CALB/CALB_25_T25-2,93,0.050000000000000003,0.030837987328008316,0.020837987328008303,0.0084082495777526248,0.010000000000000009,0.028940267018705335,0,93,-0.010000000000000012,-0.022429737750255689,0.012429737750255678,False,True
CALB,CALB/CALB_35_B173,93,0.050000000000000003,0.03146232456662091,0.021462324566620897,0.007116797291348567,0.010000000000000009,0.026377702681773862,0,93,-0.010000000000000012,-0.024345527275272342,0.01434552727527233,False,True
CALB,CALB/CALB_35_B174,93,0.050000000000000003,0.033853043654186864,0.023853043654186855,0.0069256680324896371,0.010000000000000009,0.029417777821675317,0,93,-0.010000000000000009,-0.026927375621697225,0.016927375621697216,False,True
CALB,CALB/CALB_35_B175,93,0.050000000000000003,0.03546955092291381,0.025469550922913801,0.0063625207859983931,0.010000000000000009,0.032460936968187082,0,93,-0.010000000000000009,-0.029107030136915416,0.019107030136915407,False,True
CALB,CALB/CALB_35_B222,93,0.050000000000000003,0.032252173339814311,0.022252173339814298,0.0064915224507941472,0.010000000000000009,0.028399179763926141,0,93,-0.010000000000000012,-0.025760650889020163,0.01576065088902015,False,True
CALB,CALB/CALB_35_B223,93,0.050000000000000003,0.03088901944807744,0.020889019448077431,0.005529410601650268,0.010000000000000009,0.028172998744143807,0,93,-0.010000000000000009,-0.02535960884642717,0.015359608846427163,False,True
CALB,CALB/CALB_35_B224,93,0.050000000000000003,0.030608745548345098,0.020608745548345089,0.0059274973723833606,0.010000000000000009,0.027412601613123755,0,93,-0.010000000000000009,-0.024681248175961738,0.014681248175961729,False,True
CALB,CALB/CALB_35_B227,93,0.050000000000000003,0.032058733367756422,0.022058733367756406,0.0069897267747294775,0.010000000000000009,0.027986673621083424,0,93,-0.010000000000000016,-0.025069006593026945,0.015069006593026929,False,True
CALB,CALB/CALB_35_B228,93,0.050000000000000003,0.034909936998452823,0.024909936998452814,0.0081904716817691667,0.010000000000000009,0.028416628263793209,0,93,-0.010000000000000009,-0.026719465316683656,0.016719465316683647,False,True
CALB,CALB/CALB_35_B229,93,0.050000000000000003,0.032223286857123057,0.022223286857123044,0.0079165364124894246,0.010000000000000009,0.026300912661453513,0,93,-0.010000000000000012,-0.02430675044463363,0.01430675044463362,False,True
CALB,CALB/CALB_35_B230,93,0.050000000000000003,0.031807123015082803,0.021807123015082794,0.0080780497242610751,0.010000000000000009,0.025532716786638043,0,93,-0.010000000000000009,-0.023729073290821728,0.013729073290821719,False,True
CALB,CALB/CALB_35_B247,93,0.050000000000000003,0.27446724160021296,0.26446724160021295,0.1277894813498329,0.010000000000000009,0.14840435852870859,0,93,-0.010000000000000009,-0.14667776025038007,0.13667776025038006,False,True
CALB,CALB/CALB_35_B248,93,0.050000000000000003,0.033892668887421824,0.023892668887421808,0.0067620563188955417,0.010000000000000009,0.029919396420719169,0,93,-0.010000000000000016,-0.027130612568526283,0.017130612568526268,False,True
CALB,CALB/CALB_35_B249,93,0.050000000000000003,0.033141412972176196,0.023141412972176187,0.005860761152721365,0.010000000000000009,0.030248492871521648,0,93,-0.010000000000000009,-0.02728065181945483,0.017280651819454821,False,True
CALB,CALB/CALB_35_B250,93,0.050000000000000003,0.031498502492424613,0.021498502492424604,0.0061434456284697146,0.010000000000000009,0.028146403199019843,0,93,-0.010000000000000009,-0.025355056863954898,0.015355056863954889,False,True
CALB,CALB/CALB_45_B253,94,0.050000000000000003,0.039889401940408638,0.029889401940408629,0.018574521470728519,0.010000000000000009,0.024072534091358344,0,94,-0.010000000000000009,-0.021314880469680119,0.01131488046968011,False,True
CALB,CALB/CALB_45_B255,94,0.050000000000000003,0.042773582576572849,0.032773582576572848,0.018825703008099673,0.010000000000000009,0.026186734545805557,0,94,-0.010000000000000002,-0.023947879568473177,0.013947879568473175,False,True
CALB,CALB/CALB_45_B256,93,0.050000000000000003,0.043535669136283789,0.03353566913628378,0.021068762252063937,0.010000000000000009,0.0241140973824433,0,93,-0.010000000000000009,-0.022466906884219852,0.012466906884219843,False,True
CALCE,CALCE/CALCE_CS2_33,655,0.050000000000000003,0.081912986526032558,0.073764921711291592,0.037483535436355415,0.010000000000000009,0.2247928525045268,0,506,-0.0081480648147409657,-0.044429451089677142,0.036281386274936177,False,True
CALCE,CALCE/CALCE_CS2_34,627,0.050000000000000003,0.042868487485064631,0.034925394235555449,0.032267054033344192,0.010000000000000009,0.17758996956907619,0,537,-0.0079430932495091824,-0.010601433451720439,0.0026583402022112568,False,True
CALCE,CALCE/CALCE_CS2_35,775,0.050000000000000003,0.075243735896916242,0.069154088100974551,0.046406018430855692,0.010000000000000009,0.18889455045809939,0,582,-0.0060896477959416911,-0.02883771746606055,0.022748069670118859,False,True
CALCE,CALCE/CALCE_CS2_36,827,0.050000000000000003,0.097371499389188779,0.091464853618432401,0.062087021413302357,0.010000000000000009,0.19054044516601554,0,594,-0.0059066457707563774,-0.035284477975886422,0.029377832205130044,False,True
CALCE,CALCE/CALCE_CS2_37,900,0.050000000000000003,0.082217674225131959,0.075860225310084406,0.053931023312764073,0.010000000000000009,0.17698760457187229,0,623,-0.0063574489150475533,-0.028286650912367886,0.021929201997320333,False,True
CALCE,CALCE/CALCE_CS2_38,898,0.050000000000000003,0.076349931912542066,0.069417533753571209,0.044250287182722552,0.010000000000000009,0.17677688639422195,0,783,-0.0069323981589708566,-0.032099644729819514,0.025167246570848657,False,True
CALCE,CALCE/CALCE_CX2_16,1274,0.050000000000000003,0.057097504572425441,0.058699051696031929,0.040339863624067579,0.010000000000000009,0.050555421514069887,0,1018,0.0016015471236064879,-0.016757640948357862,0.01835918807196435,False,True
CALCE,CALCE/CALCE_CX2_33,1266,0.050000000000000003,0.031048371970612536,0.032776900958033699,0.021737103699078747,0.010000000000000009,0.11913860940649368,0,933,0.0017285289874211622,-0.0093112682715337895,0.011039797258954952,False,True
CALCE,CALCE/CALCE_CX2_34,1358,0.050000000000000003,0.042647825119290689,0.038177494127525996,0.053110188663490779,0.010000000000000009,0.071203488458739694,0,972,-0.0044703309917646927,0.01046236354420009,-0.014932694535964783,False,True
CALCE,CALCE/CALCE_CX2_35,1449,0.050000000000000003,0.032306367036497849,0.030563204927019583,0.014566051766815809,0.010000000000000009,0.16653782049484378,0,1097,-0.0017431621094782662,-0.01774031526968204,0.015997153160203774,False,True
CALCE,CALCE/CALCE_CX2_36,1563,0.050000000000000003,0.049535098426942779,0.045255768269072211,0.056531711232276238,0.010000000000000009,0.066972504494977048,0,1177,-0.0042793301578705686,0.0069966128053334589,-0.011275942963204028,False,True
CALCE,CALCE/CALCE_CX2_37,1067,0.050000000000000003,0.032046067907574027,0.027004815245319294,0.035904229150400264,0.010000000000000009,0.054550332615989849,0,767,-0.0050412526622547332,0.0038581612428262371,-0.0088994139050809704,False,True
CALCE,CALCE/CALCE_CX2_38,1574,0.050000000000000003,0.065885013575351439,0.061028614196960963,0.059337728568543836,0.010000000000000009,0.10319820479187064,0,1233,-0.004856399378390476,-0.006547285006807603,0.001690885628417127,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,1081,0.050000000000000003,0.19381008286244755,0.19501982327969211,0.16400530099996552,0.010000000000000009,0.35680109452892395,0,1081,0.0012097404172445592,-0.029804781862482033,0.031014522279726592,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,1074,0.050000000000000003,0.044010805598685004,0.036317965917935499,0.023927596355124266,0.010000000000000009,0.075650129390931298,0,967,-0.0076928396807495053,-0.020083209243560739,0.012390369562811233,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,1076,0.050000000000000003,0.057486147245105125,0.048019085237745181,0.020377708320027145,0.010000000000000009,0.11687741141791019,0,1053,-0.0094670620073599443,-0.03710843892507798,0.027641376917718036,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,1076,0.050000000000000003,0.059322344963677109,0.049864701108949423,0.015322802310550374,0.010000000000000009,0.10592896194626655,0,1055,-0.0094576438547276862,-0.043999542653126736,0.03454189879839905,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,1101,0.050000000000000003,0.059079168999535414,0.049485105549845074,0.018302744548577873,0.010000000000000009,0.10261235707168537,0,1076,-0.0095940634496903404,-0.040776424450957541,0.0311823610012672,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,1069,0.050000000000000003,0.075646725364987372,0.066085436120185456,0.027214792555355884,0.010000000000000009,0.13320283369040042,0,1049,-0.0095612892448019154,-0.048431932809631484,0.038870643564829568,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,1076,0.050000000000000003,0.074825889829655115,0.065226611948447408,0.027560538033599969,0.010000000000000009,0.11112347629721986,0,1058,-0.0095992778812077073,-0.047265351796055149,0.037666073914847442,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,1070,0.050000000000000003,0.059759764447370183,0.050204477380644347,0.017989302318431218,0.010000000000000009,0.093055418693710812,0,1046,-0.0095552870667258358,-0.041770462128938965,0.032215175062213129,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,1076,0.050000000000000003,0.067649477939973099,0.058076257317512182,0.029293316543680458,0.010000000000000009,0.12915267152682675,0,1060,-0.0095732206224609165,-0.038356161396292637,0.028782940773831724,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,1076,0.050000000000000003,0.055008149844406898,0.045422391985869601,0.018582384032065413,0.010000000000000009,0.13015695953999562,0,1052,-0.0095857578585372971,-0.036425765812341485,0.026840007953804187,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,1076,0.050000000000000003,0.024801320229869285,0.018467847401187648,0.026284876538334022,0.010000000000000009,0.101369630214865,0,966,-0.0063334728286816369,0.0014835563084647369,-0.0078170291371463738,False,True
