method,domain_equal_cell_macro_mae,worst_domain_cell_macro_mae
bounded_recovery_method,0.06958390255195183,0.14973796261426345
strict_method,0.07037751214694384,0.1453074741276922
bounded_recovery_state,0.07452628724256204,0.148634180702122
strict_state,0.07523980647076693,0.14421515618330924
