domain,method,cells,records,cell_macro_mae,cell_macro_rmse
MATR,pchp_sequence_transformer,169,139148,0.052078748629235325,0.05992678125737156
MATR,selected_causal_baseline,169,139148,0.05078703072873228,0.05818650235202305
MATR,selected_causal_method,169,139148,0.0494696776323124,0.05664401760654476
MATR,sequence_transformer_candidate,169,139148,0.053112522584084325,0.07094819835899198
SDU,pchp_sequence_transformer,86,48716,0.07380986447200964,0.08122014066480147
SDU,selected_causal_baseline,86,48716,0.0679263095683954,0.07594856743420235
SDU,selected_causal_method,86,48716,0.06528704462743475,0.07287332966078602
SDU,sequence_transformer_candidate,86,48716,0.14670705015503183,0.15276583129945373
