domain,cell_id,records,cell_mae,cell_rmse,method
MATR,MATR/MATR_b2c26,492,0.02700192894068007,0.03789057572371892,selected_causal_baseline
MATR,MATR/MATR_b2c27,489,0.03356414725557033,0.04024188452846038,selected_causal_baseline
MATR,MATR/MATR_b2c28,535,0.03219603964209846,0.04006289346498701,selected_causal_baseline
MATR,MATR/MATR_b2c29,516,0.04043056344484795,0.045126466814266596,selected_causal_baseline
MATR,MATR/MATR_b2c3,355,0.0357168370204889,0.04473917611723736,selected_causal_baseline
MATR,MATR/MATR_b2c30,501,0.0347717470913266,0.040328304682198834,selected_causal_baseline
MATR,MATR/MATR_b2c31,513,0.03831245029671533,0.04363263618539457,selected_causal_baseline
MATR,MATR/MATR_b2c32,538,0.039188160122139847,0.043331300524456905,selected_causal_baseline
MATR,MATR/MATR_b2c33,540,0.04297104687970671,0.04711917771839022,selected_causal_baseline
MATR,MATR/MATR_b2c34,520,0.04373892359742839,0.047264573179670415,selected_causal_baseline
MATR,MATR/MATR_b2c35,480,0.039504126239968046,0.043706342647204105,selected_causal_baseline
MATR,MATR/MATR_b2c36,554,0.04092049987483204,0.04429740742668547,selected_causal_baseline
MATR,MATR/MATR_b2c37,496,0.04219888315084173,0.04569094633143028,selected_causal_baseline
MATR,MATR/MATR_b2c38,481,0.039784361363513286,0.04321715812305475,selected_causal_baseline
MATR,MATR/MATR_b2c39,474,0.044446593533356255,0.047917242544538614,selected_causal_baseline
MATR,MATR/MATR_b2c4,465,0.027886683885035936,0.039015611395935054,selected_causal_baseline
MATR,MATR/MATR_b2c40,524,0.02991648095494032,0.0378948894614136,selected_causal_baseline
MATR,MATR/MATR_b2c41,446,0.03523909039866556,0.0402102976927059,selected_causal_baseline
MATR,MATR/MATR_b2c42,486,0.034201817954050924,0.03855543086032144,selected_causal_baseline
MATR,MATR/MATR_b2c43,481,0.03525523060623903,0.03856204954808959,selected_causal_baseline
MATR,MATR/MATR_b2c44,472,0.03662934219483978,0.039347210139040883,selected_causal_baseline
MATR,MATR/MATR_b2c45,508,0.03593668818253721,0.040619362205837846,selected_causal_baseline
MATR,MATR/MATR_b2c46,443,0.03597120367008995,0.03932470370340042,selected_causal_baseline
MATR,MATR/MATR_b2c47,739,0.033270752901342175,0.03521475969177039,selected_causal_baseline
MATR,MATR/MATR_b2c5,501,0.03597149704538184,0.04183438770725695,selected_causal_baseline
