threshold,cost_ratio,method,surface_equal_binary_cost,surface_equal_continuous_cost,surface_equal_premature_review_rate,surface_equal_missed_degraded_state_rate,external_surfaces
0.7,1.0,fixed_shift,0.18839561436804494,0.1332619549952954,0.052083333333333336,0.1363122810347116,6
0.7,1.0,pchp_method,0.1932897942622248,0.12636478582538285,0.05697751322751323,0.1363122810347116,6
0.7,1.0,protected_state,0.19441413288656342,0.1306078750189977,0.05810185185185185,0.1363122810347116,6
0.7,2.0,fixed_shift,0.3247078954027565,0.22424866151749634,0.052083333333333336,0.1363122810347116,6
0.7,2.0,pchp_method,0.3296020752969364,0.20969770178973704,0.05697751322751323,0.1363122810347116,6
0.7,2.0,protected_state,0.33072641392127505,0.21526754155304983,0.05810185185185185,0.1363122810347116,6
0.7,5.0,fixed_shift,0.7336447385068913,0.4972087810840992,0.052083333333333336,0.1363122810347116,6
0.7,5.0,pchp_method,0.7385389184010712,0.4596964496827995,0.05697751322751323,0.1363122810347116,6
0.7,5.0,protected_state,0.7396632570254097,0.4692465411552061,0.05810185185185185,0.1363122810347116,6
0.7,10.0,fixed_shift,1.4152061436804493,0.9521423136951039,0.052083333333333336,0.1363122810347116,6
0.7,10.0,pchp_method,1.420100323574629,0.8763610295045702,0.05697751322751323,0.1363122810347116,6
0.7,10.0,protected_state,1.4212246621989675,0.8925448738254667,0.05810185185185185,0.1363122810347116,6
0.8,1.0,fixed_shift,0.3564130091289525,0.1332619549952954,0.12416666666666666,0.23224634246228584,6
0.8,1.0,pchp_method,0.3564130091289525,0.12636478582538285,0.12416666666666666,0.23224634246228584,6
0.8,1.0,protected_state,0.3564130091289525,0.1306078750189977,0.12416666666666666,0.23224634246228584,6
0.8,2.0,fixed_shift,0.5886593515912384,0.22424866151749634,0.12416666666666666,0.23224634246228584,6
0.8,2.0,pchp_method,0.5886593515912384,0.20969770178973704,0.12416666666666666,0.23224634246228584,6
0.8,2.0,protected_state,0.5886593515912384,0.21526754155304983,0.12416666666666666,0.23224634246228584,6
0.8,5.0,fixed_shift,1.2853983789780958,0.4972087810840992,0.12416666666666666,0.23224634246228584,6
0.8,5.0,pchp_method,1.2853983789780958,0.4596964496827995,0.12416666666666666,0.23224634246228584,6
0.8,5.0,protected_state,1.2853983789780958,0.4692465411552061,0.12416666666666666,0.23224634246228584,6
0.8,10.0,fixed_shift,2.446630091289525,0.9521423136951039,0.12416666666666666,0.23224634246228584,6
0.8,10.0,pchp_method,2.446630091289525,0.8763610295045702,0.12416666666666666,0.23224634246228584,6
0.8,10.0,protected_state,2.446630091289525,0.8925448738254667,0.12416666666666666,0.23224634246228584,6
0.9,1.0,fixed_shift,0.5517626586978789,0.1332619549952954,0.17889683847487522,0.3728658202230037,6
0.9,1.0,pchp_method,0.5513658333010535,0.12636478582538285,0.17889683847487522,0.3724689948261783,6
0.9,1.0,protected_state,0.5458352767945847,0.1306078750189977,0.1808206745366423,0.36501460225794236,6
0.9,2.0,fixed_shift,0.9246284789208824,0.22424866151749634,0.17889683847487522,0.3728658202230037,6
0.9,2.0,pchp_method,0.9238348281272316,0.20969770178973704,0.17889683847487522,0.3724689948261783,6
0.9,2.0,protected_state,0.910849879052527,0.21526754155304983,0.1808206745366423,0.36501460225794236,6
0.9,5.0,fixed_shift,2.0432259395898935,0.4972087810840992,0.17889683847487522,0.3728658202230037,6
0.9,5.0,pchp_method,2.0412418126057665,0.4596964496827995,0.17889683847487522,0.3724689948261783,6
0.9,5.0,protected_state,2.005893685826354,0.4692465411552061,0.1808206745366423,0.36501460225794236,6
0.9,10.0,fixed_shift,3.9075550407049118,0.9521423136951039,0.17889683847487522,0.3728658202230037,6
0.9,10.0,pchp_method,3.9035867867366583,0.8763610295045702,0.17889683847487522,0.3724689948261783,6
0.9,10.0,protected_state,3.830966697116066,0.8925448738254667,0.1808206745366423,0.36501460225794236,6
