domain,cell_id,cell_mae,method
HUST,HUST/HUST_3-5,0.04089352145300144,pointwise_tube
HUST,HUST/HUST_3-6,0.03718068741424701,pointwise_tube
HUST,HUST/HUST_3-7,0.03117033762479484,pointwise_tube
HUST,HUST/HUST_3-8,0.038161583006481516,pointwise_tube
HUST,HUST/HUST_4-1,0.03741576002628832,pointwise_tube
HUST,HUST/HUST_4-2,0.0314358705012996,pointwise_tube
HUST,HUST/HUST_4-3,0.021091556789604116,pointwise_tube
HUST,HUST/HUST_4-4,0.020716392434381437,pointwise_tube
HUST,HUST/HUST_4-5,0.0276359318279693,pointwise_tube
HUST,HUST/HUST_4-6,0.02875084412605643,pointwise_tube
HUST,HUST/HUST_4-7,0.030810178643127246,pointwise_tube
HUST,HUST/HUST_4-8,0.03382850357513996,pointwise_tube
HUST,HUST/HUST_5-1,0.029407749635255533,pointwise_tube
HUST,HUST/HUST_5-2,0.035009081625831266,pointwise_tube
HUST,HUST/HUST_5-3,0.02895734220058331,pointwise_tube
HUST,HUST/HUST_5-4,0.022111339143283882,pointwise_tube
HUST,HUST/HUST_5-5,0.036124690959282425,pointwise_tube
HUST,HUST/HUST_5-6,0.02854239173186112,pointwise_tube
HUST,HUST/HUST_5-7,0.019830698759218286,pointwise_tube
HUST,HUST/HUST_6-1,0.019935417515192688,pointwise_tube
HUST,HUST/HUST_6-2,0.0387998165394557,pointwise_tube
HUST,HUST/HUST_6-3,0.03446785674150727,pointwise_tube
HUST,HUST/HUST_6-4,0.023993578559221625,pointwise_tube
HUST,HUST/HUST_6-5,0.025088154888173127,pointwise_tube
HUST,HUST/HUST_6-6,0.0419766331835594,pointwise_tube
HUST,HUST/HUST_6-8,0.043593755897955874,pointwise_tube
HUST,HUST/HUST_7-1,0.033221697159701004,pointwise_tube
HUST,HUST/HUST_7-2,0.038428892734874875,pointwise_tube
HUST,HUST/HUST_7-3,0.019809751881281264,pointwise_tube
HUST,HUST/HUST_7-4,0.02040009047573194,pointwise_tube
HUST,HUST/HUST_7-5,0.03153292241459733,pointwise_tube
HUST,HUST/HUST_7-6,0.01999721117851166,pointwise_tube
HUST,HUST/HUST_7-7,0.020698707254038343,pointwise_tube
HUST,HUST/HUST_7-8,0.032069704191962006,pointwise_tube
HUST,HUST/HUST_8-1,0.019760720068465604,pointwise_tube
HUST,HUST/HUST_8-2,0.024429436181414285,pointwise_tube
HUST,HUST/HUST_8-3,0.034145315167841535,pointwise_tube
HUST,HUST/HUST_8-4,0.021029438809962928,pointwise_tube
HUST,HUST/HUST_8-5,0.02112567151685113,pointwise_tube
HUST,HUST/HUST_8-6,0.02794418288188245,pointwise_tube
HUST,HUST/HUST_8-7,0.0262421245291701,pointwise_tube
HUST,HUST/HUST_8-8,0.034486513140943184,pointwise_tube
HUST,HUST/HUST_9-1,0.04029929955897132,pointwise_tube
HUST,HUST/HUST_9-2,0.03502278848736458,pointwise_tube
HUST,HUST/HUST_9-3,0.036199223235197246,pointwise_tube
HUST,HUST/HUST_9-4,0.03791183751691712,pointwise_tube
HUST,HUST/HUST_9-5,0.03703322935973562,pointwise_tube
HUST,HUST/HUST_9-6,0.03775998488804531,pointwise_tube
HUST,HUST/HUST_9-7,0.033740300694865596,pointwise_tube
HUST,HUST/HUST_9-8,0.03557945597677367,pointwise_tube
MATR,MATR/MATR_b1c0,0.03692214475794206,pointwise_tube
MATR,MATR/MATR_b1c1,0.04466009103384144,pointwise_tube
MATR,MATR/MATR_b1c11,0.06120056079695975,pointwise_tube
MATR,MATR/MATR_b1c14,0.06166547281358398,pointwise_tube
MATR,MATR/MATR_b1c15,0.05658174632923495,pointwise_tube
MATR,MATR/MATR_b1c16,0.05022735190699213,pointwise_tube
MATR,MATR/MATR_b1c17,0.05073712969129658,pointwise_tube
MATR,MATR/MATR_b1c18,0.04223710987117038,pointwise_tube
MATR,MATR/MATR_b1c19,0.04715353221396145,pointwise_tube
MATR,MATR/MATR_b1c2,0.043903902459998555,pointwise_tube
MATR,MATR/MATR_b1c20,0.029678597823859787,pointwise_tube
MATR,MATR/MATR_b1c21,0.04012817273548039,pointwise_tube
MATR,MATR/MATR_b1c23,0.0665172734822234,pointwise_tube
MATR,MATR/MATR_b1c24,0.08228408481103079,pointwise_tube
MATR,MATR/MATR_b1c25,0.0746118025403916,pointwise_tube
MATR,MATR/MATR_b1c26,0.054321546491410945,pointwise_tube
MATR,MATR/MATR_b1c27,0.058704734824815356,pointwise_tube
MATR,MATR/MATR_b1c28,0.07356497955609999,pointwise_tube
MATR,MATR/MATR_b1c29,0.0763178228209273,pointwise_tube
MATR,MATR/MATR_b1c3,0.044956134806760015,pointwise_tube
MATR,MATR/MATR_b1c30,0.0538755888398334,pointwise_tube
MATR,MATR/MATR_b1c31,0.05722984610758584,pointwise_tube
MATR,MATR/MATR_b1c32,0.06329185712587578,pointwise_tube
MATR,MATR/MATR_b1c33,0.06279241464351738,pointwise_tube
MATR,MATR/MATR_b1c34,0.06886457359789541,pointwise_tube
MATR,MATR/MATR_b1c35,0.06570178259269396,pointwise_tube
MATR,MATR/MATR_b1c36,0.0711835949374,pointwise_tube
MATR,MATR/MATR_b1c37,0.0674602124450214,pointwise_tube
MATR,MATR/MATR_b1c38,0.05410669698597262,pointwise_tube
MATR,MATR/MATR_b1c39,0.05444099228364341,pointwise_tube
MATR,MATR/MATR_b1c4,0.046935067351574634,pointwise_tube
MATR,MATR/MATR_b1c40,0.0751116329549069,pointwise_tube
MATR,MATR/MATR_b1c41,0.08069710211549616,pointwise_tube
MATR,MATR/MATR_b1c42,0.05778675669817559,pointwise_tube
MATR,MATR/MATR_b1c43,0.05493596943863649,pointwise_tube
MATR,MATR/MATR_b1c44,0.0555093816558619,pointwise_tube
MATR,MATR/MATR_b1c45,0.055237137735346255,pointwise_tube
MATR,MATR/MATR_b1c5,0.04025490700155775,pointwise_tube
MATR,MATR/MATR_b1c6,0.030928797852032005,pointwise_tube
MATR,MATR/MATR_b1c7,0.043626495380153736,pointwise_tube
MATR,MATR/MATR_b1c9,0.05594658052112145,pointwise_tube
MATR,MATR/MATR_b2c0,0.028415514281796783,pointwise_tube
MATR,MATR/MATR_b2c1,0.0476207469205236,pointwise_tube
MATR,MATR/MATR_b2c10,0.026650175860391725,pointwise_tube
MATR,MATR/MATR_b2c11,0.02775269484153328,pointwise_tube
MATR,MATR/MATR_b2c12,0.02306930401999451,pointwise_tube
MATR,MATR/MATR_b2c13,0.02862336248394365,pointwise_tube
MATR,MATR/MATR_b2c14,0.0337579752187888,pointwise_tube
MATR,MATR/MATR_b2c17,0.03550759291477391,pointwise_tube
MATR,MATR/MATR_b2c18,0.0258305923080807,pointwise_tube
MATR,MATR/MATR_b2c19,0.017177915250734012,pointwise_tube
MATR,MATR/MATR_b2c2,0.04515700345333169,pointwise_tube
MATR,MATR/MATR_b2c20,0.0333814663751304,pointwise_tube
MATR,MATR/MATR_b2c21,0.02764546102667773,pointwise_tube
MATR,MATR/MATR_b2c22,0.034152765806137485,pointwise_tube
MATR,MATR/MATR_b2c23,0.031069560701086414,pointwise_tube
MATR,MATR/MATR_b2c24,0.03198545662785701,pointwise_tube
MATR,MATR/MATR_b2c25,0.023983444079900565,pointwise_tube
