domain,cell_id,method,rows,mae,rmse,trajectory_increase_fraction,maximum_predicted_increase
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,pchp_raw_pooled,1069,0.06617699604528586,0.07200131176914862,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,pchp_raw_pooled,1076,0.06530765511410508,0.07141740413584723,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,pchp_raw_pooled,1070,0.0502923945059864,0.0541618992477912,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,pchp_raw_pooled,1076,0.05817127512406934,0.06371588455194033,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,pchp_raw_pooled,1076,0.0455074373443511,0.048137293324180576,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,pchp_raw_pooled,1076,0.017728280116999135,0.023955700567869883,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,pchp_raw_pooled,1074,0.0175601546277127,0.021338290800726262,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,pchp_raw_pooled,1082,0.04966205013142544,0.05219186771686616,0.0,0.0
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,pchp_raw_pooled,1078,0.048950604523774206,0.05448554044645154,0.0,0.0
HUST,HUST/HUST_1-1,pchp_raw_pooled,1499,0.02659172589492867,0.03739203554848649,0.0,0.0
HUST,HUST/HUST_1-2,pchp_raw_pooled,2673,0.03474950369353236,0.049014435229117505,0.0,0.0
HUST,HUST/HUST_1-3,pchp_raw_pooled,1853,0.04306804806560454,0.04765539480847048,0.0,0.0
HUST,HUST/HUST_1-4,pchp_raw_pooled,1495,0.04115724721464086,0.046068500299959576,0.0,0.0
HUST,HUST/HUST_1-5,pchp_raw_pooled,1966,0.044966951664137854,0.049295033296195244,0.0,0.0
HUST,HUST/HUST_1-6,pchp_raw_pooled,1138,0.03208007730457291,0.04889091532615952,0.0,0.0
HUST,HUST/HUST_1-7,pchp_raw_pooled,1673,0.02741735901019912,0.04108527813492081,0.0,0.0
HUST,HUST/HUST_1-8,pchp_raw_pooled,2280,0.0316849827220122,0.04467899276829163,0.0,0.0
HUST,HUST/HUST_10-1,pchp_raw_pooled,1697,0.02890031007710444,0.04190995736520779,0.0,0.0
HUST,HUST/HUST_10-2,pchp_raw_pooled,1692,0.03925196469632236,0.05239642375520801,0.0,0.0
HUST,HUST/HUST_10-3,pchp_raw_pooled,1843,0.03280202750614051,0.04911550099816019,0.0,0.0
HUST,HUST/HUST_10-4,pchp_raw_pooled,1806,0.035724514836688925,0.04345929391917368,0.0,0.0
HUST,HUST/HUST_10-5,pchp_raw_pooled,2025,0.03748619457268587,0.044750589207584526,0.0,0.0
HUST,HUST/HUST_10-6,pchp_raw_pooled,2280,0.037212209845069115,0.05459512868459094,0.0,0.0
HUST,HUST/HUST_10-7,pchp_raw_pooled,1778,0.035901389537766316,0.04412969338732196,0.0,0.0
HUST,HUST/HUST_10-8,pchp_raw_pooled,1395,0.027712389405360884,0.04215209587816855,0.0,0.0
HUST,HUST/HUST_2-2,pchp_raw_pooled,2646,0.03254249934159344,0.04856411304079057,0.0,0.0
HUST,HUST/HUST_2-3,pchp_raw_pooled,1746,0.04120960982347155,0.04589076874377634,0.0,0.0
HUST,HUST/HUST_2-4,pchp_raw_pooled,1494,0.026157837202416222,0.040453604743416326,0.0,0.0
HUST,HUST/HUST_2-5,pchp_raw_pooled,1381,0.041142411422015385,0.04526364071101296,0.0,0.0
HUST,HUST/HUST_2-6,pchp_raw_pooled,1567,0.03659698814255955,0.04381129002416902,0.0,0.0
HUST,HUST/HUST_2-7,pchp_raw_pooled,2197,0.037629196972227295,0.0437075658996045,0.0,0.0
HUST,HUST/HUST_2-8,pchp_raw_pooled,1476,0.030497542131858252,0.04619634413458155,0.0,0.0
HUST,HUST/HUST_3-1,pchp_raw_pooled,1933,0.038230919042676316,0.04688905134499416,0.0,0.0
HUST,HUST/HUST_3-2,pchp_raw_pooled,2278,0.0390866538173614,0.04801017599372442,0.0,0.0
HUST,HUST/HUST_3-3,pchp_raw_pooled,1644,0.036174014394502005,0.04589957635922709,0.0,0.0
HUST,HUST/HUST_3-4,pchp_raw_pooled,1761,0.031076830390633546,0.04428038427690503,0.0,0.0
HUST,HUST/HUST_3-5,pchp_raw_pooled,2652,0.04140749321768145,0.05964693607063526,0.0,0.0
HUST,HUST/HUST_3-6,pchp_raw_pooled,2486,0.038124570896168816,0.045693894540145566,0.0,0.0
HUST,HUST/HUST_3-7,pchp_raw_pooled,2474,0.036110142941572804,0.04904067491583593,0.0,0.0
HUST,HUST/HUST_3-8,pchp_raw_pooled,2337,0.038402400698523714,0.048275834139760915,0.0,0.0
HUST,HUST/HUST_4-1,pchp_raw_pooled,2212,0.034581325681266116,0.05130558113312425,0.0,0.0
HUST,HUST/HUST_4-2,pchp_raw_pooled,1777,0.03533759779861395,0.042930076295323014,0.0,0.0
HUST,HUST/HUST_4-3,pchp_raw_pooled,1137,0.023994847440297045,0.03811907059761888,0.0,0.0
HUST,HUST/HUST_4-4,pchp_raw_pooled,1486,0.026108858152440934,0.03837018399301925,0.0,0.0
HUST,HUST/HUST_4-5,pchp_raw_pooled,1556,0.02975953733343957,0.044562779514410754,0.0,0.0
HUST,HUST/HUST_4-6,pchp_raw_pooled,1375,0.028426209987152732,0.04192391705651848,0.0,0.0
HUST,HUST/HUST_4-7,pchp_raw_pooled,2211,0.03551403945273733,0.052211612504317315,0.0,0.0
HUST,HUST/HUST_4-8,pchp_raw_pooled,1701,0.03780218833375947,0.04505555190848673,0.0,0.0
HUST,HUST/HUST_5-1,pchp_raw_pooled,2502,0.035634476874299416,0.048434695882080395,0.0,0.0
HUST,HUST/HUST_5-2,pchp_raw_pooled,1921,0.040042415681803126,0.045488398906270586,0.0,0.0
HUST,HUST/HUST_5-3,pchp_raw_pooled,2684,0.03399760735558626,0.046571688644897254,0.0,0.0
HUST,HUST/HUST_5-4,pchp_raw_pooled,1957,0.03254045595456221,0.04148806340499113,0.0,0.0
HUST,HUST/HUST_5-5,pchp_raw_pooled,1578,0.043077638323963004,0.047010498732486874,0.0,0.0
HUST,HUST/HUST_5-6,pchp_raw_pooled,2455,0.03528758291311485,0.04814210229185643,0.0,0.0
HUST,HUST/HUST_5-7,pchp_raw_pooled,1443,0.024740453966155977,0.0373898458581853,0.0,0.0
HUST,HUST/HUST_6-1,pchp_raw_pooled,1604,0.027399159708233863,0.03820276496433243,0.0,0.0
