method,domain_equal_cell_macro_mae,worst_domain_cell_macro_mae
change_pooled,0.05684575974741612,0.16394659292371008
change_domain_equal,0.05694415462435643,0.17510931700132615
raw_pooled,0.07789700810846578,0.16263429452542227
raw_domain_equal,0.0816866801980173,0.17972115337228942
